Date,Price,Open,High,Low,Vol.,Change %
07/08/2020,11500,11400,11700,11350,9.19M,0.0044
07/09/2020,11800,11700,11850,11500,14.05M,0.0261
07/10/2020,11550,11700,11800,11500,8.38M,-0.0212
07/13/2020,11450,11650,11700,11450,6.10M,-0.0087
07/14/2020,11550,11400,11650,11350,6.75M,0.0087
07/15/2020,11550,11650,11700,11550,5.54M,0
07/16/2020,11600,11550,11600,11450,5.10M,0.0043
07/17/2020,11600,11600,11750,11500,9.20M,0
07/20/2020,11450,11650,11700,11450,8.09M,-0.0129
07/21/2020,11500,11450,11600,11400,7.05M,0.0044
07/22/2020,11300,11550,11600,11250,8.50M,-0.0174
07/23/2020,11250,11350,11400,11100,8.26M,-0.0044
07/24/2020,10900,11150,11250,10600,20.16M,-0.0311
07/27/2020,10150,10400,10650,10150,26.01M,-0.0688
07/28/2020,10550,10200,10600,10100,13.93M,0.0394
07/29/2020,10150,10250,10350,9950,14.83M,-0.0379
07/30/2020,10200,10200,10350,10150,6.31M,0.0049
07/31/2020,10100,9900,10250,9900,5.74M,-0.0098
08/03/2020,10350,10150,10450,10050,9.79M,0.0248
08/04/2020,10500,10500,10500,10350,6.79M,0.0145
08/05/2020,10650,10500,10700,10400,8.29M,0.0143
08/06/2020,10500,10600,10700,10500,5.68M,-0.0141
08/07/2020,10450,10550,10550,10400,7.12M,-0.0048
08/10/2020,10600,10550,10800,10550,11.95M,0.0144
08/11/2020,10650,10700,10750,10500,7.72M,0.0047
08/12/2020,10750,10650,10800,10600,8.77M,0.0094
08/13/2020,10850,10750,10900,10750,6.50M,0.0093
08/14/2020,10700,10850,10850,10650,8.81M,-0.0138
08/17/2020,10650,10700,10750,10550,5.19M,-0.0047
08/18/2020,10750,10650,10800,10600,5.21M,0.0094
08/19/2020,10800,10800,10800,10700,4.21M,0.0047
08/20/2020,10650,10750,10850,10650,6.06M,-0.0139
08/21/2020,11050,10700,11050,10650,12.93M,0.0376
08/24/2020,11300,11100,11400,11100,14.30M,0.0226
08/25/2020,11250,11300,11400,11200,9.62M,-0.0044
08/26/2020,11200,11250,11300,11100,9.99M,-0.0044
08/27/2020,11300,11250,11350,11150,6.80M,0.0089
08/28/2020,11350,11400,11450,11300,10.09M,0.0044
